Feature,DefaultUnits,Category,CAS,HGC,MicrobialParameters,IUPAC,Alias_English,Alias_Dutch,SIKBcode,SIKBomschrijving
EC T,°C,other,,,,,EC T | EC Temp | EC Temperature | Electric Conductivity T | Electric Conductivity Temp | Electric Conductivity Temperature,EGV T | EGV Temp | EGV Temperatuur | Electrisch Geleidings Vermogen T | Electrisch Geleidings Vermogen Temp | Electrisch Geleidings Vermogen Temperatuur,,
Total Dissolved Solids,mg/L,other,,,,,Total Dissolved Solids,Totaal Gesuspendeerde Stoffen,,
H,mg/L,atoms,1333-74-0,H,,,Hydrogen,waterstof,H,waterstof
He,μg/l,atoms,7440-59-7,He,,,Helium,helium,He,helium
Li,μg/l,atoms,7439-93-2,Li,,,Lithium,lithium,Li,lithium
Be,μg/l,atoms,7440-41-7,Be,,,Beryllium,beryllium,Be,beryllium
B,μg/l,atoms,7440-42-8,B,,,Boron,boor,B,boor
C,mg/L,atoms,7440-44-0,C,,,Carbon,koolstof,C,koolstof
N,mg/L,atoms,,N,,,Nitrogen,stikstof,,
O,mg/L,atoms,,O,,,,,,
F,μg/l,atoms,16984-48-8,F,,,Fluorine,fluoride,F,fluoride
Ne,μg/l,atoms,7440-01-9,Ne,,,Neon,neon,Ne,neon
Na,mg/L,atoms,7440-23-5,Na,,,Sodium,natrium,Na,natrium
Mg,mg/L,atoms,7439-95-4,Mg,,,Magnesium,magnesium,Mg,magnesium
Al,mg/L,atoms,7429-90-5,Al,,,Aluminium,aluminium,Al,aluminium
Si,mg/L,atoms,7440-21-3,Si,,,Silicon,silicium,Si,silicium
P,mg/L,atoms,,P,,,Phosphorus,fosfor,,
S,mg/L,atoms,18496-25-8,S,,,Sulfur,sulfide | zwavel,S,sulfide
Cl,mg/L,atoms,16887-00-6,Cl,,,Chloride,chloride,Cl,chloride
Ar,μg/l,atoms,7440-37-1,Ar,,,Argon,argon,Ar,argon
K,mg/L,atoms,7440-09-7,K,,,Potassium,kalium,K,kalium
Ca,mg/L,atoms,7440-70-2,Ca,,,Calcium,calcium,Ca,calcium
Sc,μg/l,atoms,7440-20-2,Sc,,,Scandium,scandium,Sc,scandium
Ti,μg/l,atoms,7440-32-6,Ti,,,Titanium,titaan,Ti,titaan
V,μg/l,atoms,7440-62-2,V,,,Vanadium,vanadium,V,vanadium
Cr,μg/l,atoms,7440-47-3,Cr,,,Chromium,chroom,Cr,chroom
Mn,mg/L,atoms,7439-96-5,Mn,,,Manganese,mangaan,Mn,mangaan
Fe,mg/L,atoms,7439-89-6,Fe,,,Iron,ijzer,Fe,ijzer
Co,μg/l,atoms,7440-48-4,Co,,,Cobalt,kobalt,Co,kobalt
Ni,μg/l,atoms,7440-02-0,Ni,,,Nickel,nikkel,Ni,nikkel
Cu,μg/l,atoms,7440-50-8,Cu,,,Copper,koper,Cu,koper
Zn,μg/l,atoms,7440-66-6,Zn,,,Zinc,zink,Zn,zink
Ga,μg/l,atoms,7440-55-3,Ga,,,Gallium,gallium,Ga,gallium
Ge,μg/l,atoms,7440-56-4,Ge,,,Germanium,germanium,Ge,germanium
As,μg/l,atoms,7440-38-2,As,,,Arsenic,arseen,As,arseen
Se,μg/l,atoms,7782-49-2,Se,,,Selenium,seleen,Se,seleen
Br,μg/l,atoms,24959-67-9,Br,,,Bromine,bromide,Br,bromide
Kr,μg/l,atoms,7439-90-9,Kr,,,Krypton,krypton,Kr,krypton
Rb,μg/l,atoms,7440-17-7,Rb,,,Rubidium,rubidium,Rb,rubidium
Sr,μg/l,atoms,7440-24-6,Sr,,,Strontium,strontium,Sr,strontium
Y,μg/l,atoms,7440-65-5,Y,,,Yttrium,yttrium,Y,yttrium
Zr,μg/l,atoms,7440-67-7,Zr,,,Zirconium,zirkonium,Zr,zirkonium
Nb,μg/l,atoms,7440-03-1,Nb,,,Niobium,niobium,Nb,niobium
Mo,μg/l,atoms,7439-98-7,Mo,,,Molybdenum,molybdeen,Mo,molybdeen
Tc,μg/l,atoms,7440-26-8,Tc,,,Technetium,technetium,Tc,technetium
Ru,μg/l,atoms,7440-18-8,Ru,,,Ruthenium,ruthenium,Ru,ruthenium
Rh,μg/l,atoms,7440-16-6,Rh,,,Rhodium,rhodium,Rh,rhodium
Pd,μg/l,atoms,7440-05-3,Pd,,,Palladium,palladium,Pd,palladium
Ag,μg/l,atoms,7440-22-4,Ag,,,Silver,zilver,Ag,zilver
Cd,μg/l,atoms,7440-43-9,Cd,,,Cadmium,cadmium,Cd,cadmium
In,μg/l,atoms,7440-74-6,In,,,Indium,indium,In,indium
Sn,μg/l,atoms,7440-31-5,Sn,,,Tin,tin,Sn,tin
Sb,μg/l,atoms,7440-36-0,Sb,,,Antimony,antimoon,Sb,antimoon
Te,μg/l,atoms,,Te,,,,,,
I,μg/l,atoms,20461-54-5,I,,,Iodine,jodide,I,jodide
Xe,μg/l,atoms,7440-63-3,Xe,,,Xenon,xenon,Xe,xenon
