Feature,DefaultUnits,Category,CAS,HGC,MicrobialParameters,IUPAC,Alias_English,Alias_Dutch,SIKBcode,SIKBomschrijving
2-methoxy-4-nitrophenol,μg/l,,3251-56-7,,,2-methoxy-4-nitrophenol,,,2C1ox4NO2Fol,2-methoxy-4-nitrofenol
2-methoxyaniline,μg/l,,90-04-0,,,2-methoxyaniline,,,2C1oxAn,2-methoxyaniline
2-methoxyethanol,μg/l,,109-86-4,,,2-methoxyethanol,,,2C1oxC2ol,2-methoxyethanol
2-methoxyethyl acetate,μg/l,,110-49-6,,,2-methoxyethyl acetate,,,2C1oxC2yactt,2-methoxyethylacetaat
2-methoxynaphthalene,μg/l,,93-04-9,,,2-methoxynaphthalene,,,2C1oxNaf,2-methoxynaftaleen
2-methylpropanal,μg/l,,78-84-2,,,2-methylpropanal,,,2C1y1C3al,2-methyl-1-propanal
2-methylpropane-1-thiol,μg/l,,513-44-0,,,2-methylpropane-1-thiol,,,2C1y1C3atol,2-methyl-1-propaanthiol
2-methyl-1-phenylpropan-2-ol,μg/l,,100-86-7,,,2-methyl-1-phenylpropan-2-ol,,,2C1y1Fy2C3ol,2-methyl-1-fenyl-2-propanol
2-methylpropane-2-thiol,μg/l,,75-66-1,,,2-methylpropane-2-thiol,,,2C1y2C3atol,2-methyl-2-propaanthiol
2-methylbutan-2-ol,μg/l,,75-85-4,,,2-methylbutan-2-ol,,,2C1y2C4ol,2-methyl-2-butanol
"2-methyl-1,2-thiazol-3-one",μg/l,,2682-20-4,,,"2-methyl-1,2-thiazol-3-one",,,2C1y2Hitaz3o,2-methyl-2H-isothiazool-3-on
2-methylbenzotriazole,μg/l,,16584-00-2,,,2-methylbenzotriazole,,,2C1y2bztazl,2-methyl-2-benzotriazool
"2-methyl-4,5-dihydro-1,3-thiazole",μg/l,,2346-00-1,,,"2-methyl-4,5-dihydro-1,3-thiazole",,,2C1y2tazlne,2-methyl-2-thiazoline
2-methyl-5-nitro-1H-imidazole,μg/l,,696-23-1,,,2-methyl-5-nitro-1H-imidazole,,,2C1y5NO2imdz,2-methyl-5-nitroimidazool
2-methylaniline,μg/l,,95-53-4,,,2-methylaniline,,,2C1yAn,2-methylaniline
2-methylpropan-1-ol,μg/l,,78-83-1,,,2-methylpropan-1-ol,,,2C1yC3ol,2-methylpropanol (iso-butanol)
2-methylbutane,μg/l,,78-78-4,,,2-methylbutane,,,2C1yC4a,2-methylbutaan
2-methylpentane,μg/l,,107-83-5,,,2-methylpentane,,,2C1yC5a,2-methylpentaan
2-methylhexane,μg/l,,591-76-4,,,2-methylhexane,,,2C1yC6a,2-methylhexaan
2-methylhexanoic acid,μg/l,,4536-23-6,,,2-methylhexanoic acid,,,2C1yC6azr,2-methylhexaanzuur
2-methylheptane,μg/l,,592-27-8,,,2-methylheptane,,,2C1yC7a,2-methylheptaan
2-methylnaphthalene,μg/l,,91-57-6,,,2-methylnaphthalene,,,2C1yNaf,2-methylnaftaleen
"2-methyl-1,3-benzothiazole",μg/l,,120-75-2,,,"2-methyl-1,3-benzothiazole",,,2C1ybztazl,2-methylbenzothiazool
2-methyl-1H-indole,μg/l,,95-20-5,,,2-methyl-1H-indole,,,2C1yidl,2-methylindol
2-hydroxy-2-methylpropanenitrile,μg/l,,75-86-5,,,2-hydroxy-2-methylpropanenitrile,,,2C1yltntl,2-methyllactonitril
2-methylpyridine,μg/l,,109-06-8,,,2-methylpyridine,,,2C1yprdne,2-methylpyridine
2-methylquinoline,μg/l,,91-63-4,,,2-methylquinoline,,,2C1yqnlne,2-methylquinoline
"2-methylsulfanyl-1,3-benzothiazole",μg/l,,615-22-5,,,"2-methylsulfanyl-1,3-benzothiazole",,,2C1ytobztazl,2-methylthiobenzothiazool
2-ethoxy-2-methylpropane,μg/l,,637-92-3,,,2-ethoxy-2-methylpropane,,,2C2ox2C1yC3a,2-ethoxy-2-methylpropaan
2-ethoxy-2-methylbutane,μg/l,,919-94-8,,,2-ethoxy-2-methylbutane,,,2C2ox2C1yC4a,2-ethoxy-2-methylbutaan
2-ethoxyethanol,μg/l,,110-80-5,,,2-ethoxyethanol,,,2C2oxC2ol,2-ethoxyethanol
2-ethoxybutane,μg/l,,2679-87-0,,,2-ethoxybutane,,,2C2oxC4a,2-ethoxybutaan
2-ethylhexan-1-ol,μg/l,,104-76-7,,,2-ethylhexan-1-ol,,,2C2y1C6ol,2-ethyl-1-hexanol
2-ethylhexanoic acid,μg/l,,149-57-5,,,2-ethylhexanoic acid,,,2C2yC6azr,2-ethylhexaanzuur
2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate,μg/l,,5466-77-3,,,2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate,,,2C2yC6y4C1ox,2-ethylhexyl-4-methoxycinnamaat
2-ethylhexyl diphenyl phosphate,μg/l,,1241-94-7,,,2-ethylhexyl diphenyl phosphate,,,2C2yC6yDFyPO,2-ethylhexyldifenylfosfaat
2-ethylhexyl nitrate,μg/l,,27247-96-7,,,2-ethylhexyl nitrate,,,2C2yC6yNO3,2-ethylhexylnitraat
2-ethylhexyl prop-2-enoate,μg/l,,103-11-7,,,2-ethylhexyl prop-2-enoate,,,2C2yC6yaclt,2-ethylhexylacrylaat
2-ethylphenol,μg/l,,90-00-6,,,2-ethylphenol,,,2C2yFol,2-ethylfenol
1-ethyl-2-methylbenzene,μg/l,,611-14-3,,,1-ethyl-2-methylbenzene,,,2C2yTol,2-ethyltolueen
"2-ethylanthracene-9,10-dione",μg/l,,84-51-5,,,"2-ethylanthracene-9,10-dione",,,2C2yatqnn,2-ethyl-anthraquinon
"(2Z)-2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine",μg/l,,30223-73-5,,,"(2Z)-2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine",,,2C2yid15DC1y,"2-ethylidene-1,5-dimethyl-3,3-difenylpyrrolidine"
propane-2-thiol,μg/l,,75-33-2,,,propane-2-thiol,,,2C3atol,2-propaanthiol
prop-2-enoic acid,μg/l,,79-10-7,,,prop-2-enoic acid,,,2C3ezr,2-propeenzuur
propan-2-ol,μg/l,,67-63-0,,,propan-2-ol,,,2C3ol,2-propanol
2-propylheptan-1-ol,μg/l,,10042-59-8,,,2-propylheptan-1-ol,,,2C3y1C7ol,2-propyl-1-heptanol
2-propylhept-2-enal,μg/l,,34880-43-8,,,2-propylhept-2-enal,,,2C3y2C7eal,2-propyl-2-heptenal
methyl 2-propylheptanoate,μg/l,,56247-53-1,,,methyl 2-propylheptanoate,,,2C3yC7azrC1y,2-propylheptaanzuur methylester
2-propylphenol,μg/l,,644-35-9,,,2-propylphenol,,,2C3yFol,2-propylfenol
prop-2-enylbenzene,μg/l,,300-57-2,,,prop-2-enylbenzene,,,2C3yeBen,2-propenylbenzeen
butane-2-thiol,μg/l,,513-53-1,,,butane-2-thiol,,,2C4atol,2-butaanthiol
butan-2-ol,μg/l,,78-92-2,,,butan-2-ol,,,2C4ol,2-butanol
butan-2-one,μg/l,,78-93-3,,,butan-2-one,,,2C4on,2-butanon (MEK)
2-butoxyethanol,μg/l,,111-76-2,,,2-butoxyethanol,,,2C4oxC2ol,2-butoxyethanol
2-butoxyethyl acetate,μg/l,,112-07-2,,,2-butoxyethyl acetate,,,2C4oxC2yactt,2-butoxyethylacetaat
pentan-2-one,μg/l,,107-87-9,,,pentan-2-one,,,2C5on,2-pentanon
hexan-2-ol,μg/l,,626-93-7,,,hexan-2-ol,,,2C6ol,2-hexanol
hexan-2-one,μg/l,,591-78-6,,,hexan-2-one,,,2C6on,2-hexanon
octan-2-ol,μg/l,,123-96-6,,,octan-2-ol,,,2C8ol,2-octanol
"2-octyl-1,2-thiazol-3-one",μg/l,,26530-20-1,,,"2-octyl-1,2-thiazol-3-one",,,2C8y2Hitaz3o,2-octyl-2H-isothiazool-3-on
(1-chloro-2-methylpropan-2-yl)benzene,μg/l,,515-40-2,,,(1-chloro-2-methylpropan-2-yl)benzene,,,2Cl11DC1yC2y,"2-chloor-1,1-dimethylethylbenzeen"
"2-chloro-1,4-dimethylbenzene",μg/l,,95-72-7,,,"2-chloro-1,4-dimethylbenzene",,,2Cl14C1yBen,"2-chloor-1,4-dimethylbenzeen"
2-chloroprop-2-en-1-ol,μg/l,,5976-47-6,,,2-chloroprop-2-en-1-ol,,,2Cl2C3eol,2-chloor-2-propeen-ol
2-chloro-4-methylaniline,μg/l,,615-65-6,,,2-chloro-4-methylaniline,,,2Cl4C1yAn,2-chloor-4-methylaniline
2-chloro-4-nitroaniline,μg/l,,121-87-9,,,2-chloro-4-nitroaniline,,,2Cl4NO2An,2-chloor-4-nitroaniline
2-chloro-1-methyl-4-nitrobenzene,μg/l,,121-86-8,,,2-chloro-1-methyl-4-nitrobenzene,,,2Cl4NO2Tol,2-chloor-4-nitrotolueen
2-chloro-5-methylaniline,μg/l,,95-81-8,,,2-chloro-5-methylaniline,,,2Cl5C1yAn,2-chloor-5-methylaniline
2-chloro-5-methylphenol,μg/l,,615-74-7,,,2-chloro-5-methylphenol,,,2Cl5C1yFol,2-chloor-5-methylfenol
2-chloro-5-nitroaniline,μg/l,,6283-25-6,,,2-chloro-5-nitroaniline,,,2Cl5NO2An,2-chloor-5-nitroaniline
1-chloro-2-methyl-4-nitrobenzene,μg/l,,13290-74-9,,,1-chloro-2-methyl-4-nitrobenzene,,,2Cl5NO2Tol,2-chloor-5-nitrotolueen
2-chloro-6-methylaniline,μg/l,,87-63-8,,,2-chloro-6-methylaniline,,,2Cl6C1yAn,2-chloor-6-methylaniline
2-chloro-6-methylphenol,μg/l,,87-64-9,,,2-chloro-6-methylphenol,,,2Cl6C1yFol,2-chloor-6-methylfenol
2-chloro-6-fluorobenzamide,μg/l,,66073-54-9,,,2-chloro-6-fluorobenzamide,,,2Cl6FBenAd,2-chloor-6-fluorbenzamide
2-chloro-6-nitroaniline,μg/l,,769-11-9,,,2-chloro-6-nitroaniline,,,2Cl6NO2An,2-chloor-6-nitroaniline
1-chloro-2-methyl-3-nitrobenzene,μg/l,,83-42-1,,,1-chloro-2-methyl-3-nitrobenzene,,,2Cl6NO2Tol,2-chloor-6-nitrotolueen
2-chloro-6-(trichloromethyl)pyridine,μg/l,,1929-82-4,,,2-chloro-6-(trichloromethyl)pyridine,,,2Cl6TClC1ypr,2-chloor-6-(trichloormethyl)pyridine
2-chloroaniline,μg/l,,95-51-2,,,2-chloroaniline,,,2ClAn,2-chlooraniline
2-chloroethanol,μg/l,,107-07-3,,,2-chloroethanol,,,2ClC2ol,2-chloorethanol
2-chloropropane,μg/l,,75-29-6,,,2-chloropropane,,,2ClC3a,2-chloorpropaan
1-chloro-2-ethoxyethane,μg/l,,628-34-2,,,1-chloro-2-ethoxyethane,,,2ClEyEtr,2-chloorethylether
2-chlorophenol,μg/l,,95-57-8,,,2-chlorophenol,,,2ClFol,2-chloorfenol
2-chloronaphthalene,μg/l,,91-58-7,,,2-chloronaphthalene,,,2ClNaf,2-chloornaftaleen
1-chloro-2-methylbenzene,μg/l,,95-49-8,,,1-chloro-2-methylbenzene,,,2ClTol,2-chloortolueen
2-chloroacetamide,μg/l,,79-07-2,,,2-chloroacetamide,,,2ClacAd,2-chlooraceetamide
2-chloro-1-phenylethanone,μg/l,,532-27-4,,,2-chloro-1-phenylethanone,,,2Clactfnn,2-chlooracetofenon
2-methylprop-2-enal,μg/l,,78-85-3,,,2-methylprop-2-enal,,,2Cy12C3eal,2-methyl-2 propenal
2-anilinoethanol,μg/l,,122-98-5,,,2-anilinoethanol,,,2FyAoC2ol,2-fenylamino-ethanol
2-phenylethanamine,μg/l,,64-04-0,,,2-phenylethanamine,,,2FyC2yAe,b-fenylethylamine
2-phenylphenol,μg/l,,90-43-7,,,2-phenylphenol,,,2FyFol,2-fenylfenol
2-(benzenesulfonyl)aniline,μg/l,,4273-98-7,,,2-(benzenesulfonyl)aniline,,,2FysfnAn,2-(fenylsulfonyl)aniline
2-hydrazinylethanol,μg/l,,109-84-2,,,2-hydrazinylethanol,,,2HOxC2yhdzne,2-hydroxyethylhydrazine
naphthalen-2-ol,μg/l,,135-19-3,,,naphthalen-2-ol,,,2HOxNaf,2-naftol
"4-(ethylamino)-6-(propan-2-ylamino)-1H-1,3,5-triazin-2-one",μg/l,,2163-68-0,,,"4-(ethylamino)-6-(propan-2-ylamino)-1H-1,3,5-triazin-2-one",,,2HOxatzne,2-hydroxyatrazine
"3H-1,3-benzothiazol-2-one",μg/l,,934-34-9,,,"3H-1,3-benzothiazol-2-one",,,2HOxbenztazl,2-hydroxybenzothiazol
2-[4-(2-hydroxy-2-methylpropyl)phenyl]propanoic acid,μg/l,,51146-55-5,,,2-[4-(2-hydroxy-2-methylpropyl)phenyl]propanoic acid,,,2HOxibpfn,2-hydroxyibuprofen
tetradecyl 2-hydroxypropanoate,μg/l,,1323-03-1,,,tetradecyl 2-hydroxypropanoate,,,2HOxppozC14y,2-hydroxypropionzuur tetradecylester
2-nitroaniline,μg/l,,88-74-4,,,2-nitroaniline,,,2NO2An,2-nitroaniline
2-nitropropane,μg/l,,79-46-9,,,2-nitropropane,,,2NO2C3a,2-nitropropaan
2-nitro-N-phenylaniline,μg/l,,119-75-5,,,2-nitro-N-phenylaniline,,,2NO2DFyAe,2-nitrodifenylamine
2-nitrophenol,μg/l,,88-75-5,,,2-nitrophenol,,,2NO2Fol,2-nitrofenol
1-methyl-2-nitrobenzene,μg/l,,88-72-2,,,1-methyl-2-nitrobenzene,,,2NO2Tol,2-nitrotolueen
4-methyl-2-nitrophenol,μg/l,,119-33-5,,,4-methyl-2-nitrophenol,,,2NO2pcsl,2-nitro-p-cresol
naphthalene-2-sulfonic acid,μg/l,,120-18-3,,,naphthalene-2-sulfonic acid,,,2Nafsfzr,2-naftaleensulfonzuur
oxepan-2-one,μg/l,,502-44-3,,,oxepan-2-one,,,2Oxepnn,2-oxepanon
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-sulfonic acid",μg/l,,27619-97-2,,,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-sulfonic acid",,,2PFC6yC2a1sf,2-(perfluorhexyl)ethaan-1-sulfonzuur
2-(trifluoromethyl)aniline,μg/l,,88-17-5,,,2-(trifluoromethyl)aniline,,,2TFC1yAn,2-trifluormethylaniline
2-(trifluoromethyl)benzamide,μg/l,,360-64-5,,,2-(trifluoromethyl)benzamide,,,2TFC1yBenAd,2-trifluoromethylbenzamide
N-(9H-fluoren-2-yl)acetamide,μg/l,,53-96-3,,,N-(9H-fluoren-2-yl)acetamide,,,2actAoFle,2-acetylaminofluoreen
1-(furan-2-yl)ethanone,μg/l,,1192-62-7,,,1-(furan-2-yl)ethanone,,,2actfrn,2-acetylfuran
1-(1H-pyrrol-2-yl)ethanone,μg/l,,1072-83-9,,,1-(1H-pyrrol-2-yl)ethanone,,,2actprl,2-acetylpyrrol
2-methoxyaniline;hydrochloride,μg/l,,134-29-2,,,2-methoxyaniline;hydrochloride,,,2ansdnHCl,2-anisidine hydrochloride
"3H-1,3-benzothiazole-2-thione",μg/l,,149-30-4,,,"3H-1,3-benzothiazole-2-thione",,,2benztazetol,2-benzothiazolethiol
"N,N-bis(1,3-benzothiazol-2-ylsulfanyl)-2-methylpropan-2-amine",μg/l,,3741-80-8,,,"N,N-bis(1,3-benzothiazol-2-ylsulfanyl)-2-methylpropan-2-amine",,,2bztazsfAd,2-benzothiazolsulfonamide
"N-(1,3-benzothiazol-2-ylsulfanyl)cyclohexanamine",μg/l,,95-33-0,,,"N-(1,3-benzothiazol-2-ylsulfanyl)cyclohexanamine",,,2ccC6yAotobz,2-(cyclohexylaminothio)benzothiazool
2-phenoxypropan-1-ol,μg/l,,4169-04-4,,,2-phenoxypropan-1-ol,,,2fenOx1C3ol,2-fenoxy-1-propanol
2-phenoxyethanol,μg/l,,122-99-6,,,2-phenoxyethanol,,,2fenOxC2ol,2-fenoxyethanol
furan-2-ylmethanol,μg/l,,98-00-0,,,furan-2-ylmethanol,,,2furC1ol,2-furaanmethanol
2-propan-2-ylphenol,μg/l,,88-69-7,,,2-propan-2-ylphenol,,,2iC3yFol,2-isopropylfenol
"4-(1,3-benzothiazol-2-ylsulfanyl)morpholine",μg/l,,102-77-2,,,"4-(1,3-benzothiazol-2-ylsulfanyl)morpholine",,,2mflntobztaz,2-morfoline(thio)benzothiazool
pyrrolidin-2-one,μg/l,,616-45-5,,,pyrrolidin-2-one,,,2prldn,2-pyrrolidon
"(2E,4E)-deca-2,4-dienal",μg/l,,25152-84-5,,,"(2E,4E)-deca-2,4-dienal",,,2t4tDcdeal,2-trans-4-trans-decadienal
2-tert-butyl-4-methoxyphenol,μg/l,,121-00-6,,,2-tert-butyl-4-methoxyphenol,,,2ttC4y4C1oxF,2-tert-butyl-4-methoxyfenol
2-tert-butylphenol,μg/l,,88-18-6,,,2-tert-butylphenol,,,2ttC4yFol,2-tert-butylfenol
4-(4-amino-3-methoxyphenyl)-2-methoxyaniline;dihydrochloride,μg/l,,20325-40-0,,,4-(4-amino-3-methoxyphenyl)-2-methoxyaniline;dihydrochloride,,,33DC1oxbzdnD,"3,3'-dimethoxybenzidine dihydrochloride"
4-(4-amino-3-methoxyphenyl)-2-methoxyaniline;hydrochloride,μg/l,,111984-09-9,,,4-(4-amino-3-methoxyphenyl)-2-methoxyaniline;hydrochloride,,,33DC1oxbzdnH,"3,3'-dimethoxybenzidinehydrochloride"
4-(4-amino-3-methoxyphenyl)-2-methoxyaniline,μg/l,,119-90-4,,,4-(4-amino-3-methoxyphenyl)-2-methoxyaniline,,,33DC1oxbzdne,"3,3'-dimethoxybenzidine"
4-(4-amino-3-methylphenyl)-2-methylaniline;dihydrofluoride,μg/l,,41766-75-0,,,4-(4-amino-3-methylphenyl)-2-methylaniline;dihydrofluoride,,,33DC1ybzdnDH,"3,3'-dimethylbenzidine dihydrofluoride"
4-(4-amino-3-methylphenyl)-2-methylaniline,μg/l,,119-93-7,,,4-(4-amino-3-methylphenyl)-2-methylaniline,,,33DC1ybzdne,"3,3'-dimethylbenzidine"
4-(4-amino-3-chlorophenyl)-2-chloroaniline;dihydrochloride,μg/l,,612-83-9,,,4-(4-amino-3-chlorophenyl)-2-chloroaniline;dihydrochloride,,,33DClbzdnDHC,"3,3'-dichloorbenzidine dihydrochloride"
4-(4-amino-3-chlorophenyl)-2-chloroaniline;sulfuric acid,μg/l,,64969-34-2,,,4-(4-amino-3-chlorophenyl)-2-chloroaniline;sulfuric acid,,,33DClbzdnSO4,"3,3'-dichloorbenzidine sulfaat"
4-(4-amino-3-chlorophenyl)-2-chloroaniline,μg/l,,91-94-1,,,4-(4-amino-3-chlorophenyl)-2-chloroaniline,,,33DClbzdne,"3,3'-dichloorbenzidine"
"3,4,5-trimethylaniline",μg/l,,1639-31-2,,,"3,4,5-trimethylaniline",,,345TC1yAn,"3,4,5-trimethylaniline"
"3,4,5-trimethylphenol",μg/l,,527-54-8,,,"3,4,5-trimethylphenol",,,345TC1yFol,"3,4,5-trimethylfenol"
"3,4,5-trichloroaniline",μg/l,,634-91-3,,,"3,4,5-trichloroaniline",,,345TClAn,"3,4,5-trichlooraniline"
"3,4,5-trichlorophenol",μg/l,,609-19-8,,,"3,4,5-trichlorophenol",,,345TClFol,"3,4,5-trichloorfenol"
"1-(1,3-benzodioxol-5-yl)propan-2-amine",μg/l,,4764-17-4,,,"1-(1,3-benzodioxol-5-yl)propan-2-amine",,,34C1yeDoxafA,"3,4-methyleendioxyamfetamine"
"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine",μg/l,,42542-10-9,,,"1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine",,,34C1yeDoxmaf,"3,4-methyleendioxymethamfetamine"
"3,4-dimethylaniline",μg/l,,95-64-7,,,"3,4-dimethylaniline",,,34DC1yAn,"3,4-dimethylaniline"
"3,4-dimethylphenol",μg/l,,95-65-8,,,"3,4-dimethylphenol",,,34DC1yFol,"3,4-dimethylfenol"
"1-(3,4-dimethylphenyl)ethanone",μg/l,,3637-01-2,,,"1-(3,4-dimethylphenyl)ethanone",,,34DC1yactfnn,"3,4-dimethylacetofenon"
"3,4-dimethylpyridine",μg/l,,583-58-4,,,"3,4-dimethylpyridine",,,34DC1yprdne,"3,4-dimethylpyridine"
"4,5-dimethyl-1H-pyrazole",μg/l,,2820-37-3,,,"4,5-dimethyl-1H-pyrazole",,,34DC1yprzl,"3,4-dimethylpyrazol"
"3,4-dichloroaniline",μg/l,,95-76-1,,,"3,4-dichloroaniline",,,34DClAn,"3,4-dichlooraniline"
"3,4-dichlorobenzoic acid",μg/l,,51-44-5,,,"3,4-dichlorobenzoic acid",,,34DClBencbzr,"3,4-dichloorbenzeencarbonzuur"
"3,4-dichlorophenol",μg/l,,95-77-2,,,"3,4-dichlorophenol",,,34DClFol,"3,4-dichloorfenol"
"1,2-dichloro-4-nitrobenzene",μg/l,,99-54-7,,,"1,2-dichloro-4-nitrobenzene",,,34DClNO2Ben,"3,4-dichloornitrobenzeen"
"3,4-dinitrophenol",μg/l,,577-71-9,,,"3,4-dinitrophenol",,,34DNO2Fol,"3,4-dinitrofenol"
"4-methyl-1,2-dinitrobenzene",μg/l,,610-39-9,,,"4-methyl-1,2-dinitrobenzene",,,34DNO2Tol,"3,4-dinitrotolueen"
"3,5-dimethylaniline",μg/l,,108-69-0,,,"3,5-dimethylaniline",,,35DC1yAn,"3,5-dimethylaniline"
"3,5-dimethylphenol",μg/l,,108-68-9,,,"3,5-dimethylphenol",,,35DC1yFol,"3,5-dimethylfenol"
"3,5-dimethylpyridine",μg/l,,591-22-0,,,"3,5-dimethylpyridine",,,35DC1yprdne,"3,5-dimethylpyridine"
"3,5-diethyl-1,2,4-trithiolane",μg/l,,54644-28-9,,,"3,5-diethyl-1,2,4-trithiolane",,,35DC2y124Tto,"3,5-diethyl-1,2,4-trithiolan"
"3,5-dichloroaniline",μg/l,,626-43-7,,,"3,5-dichloroaniline",,,35DClAn,"3,5-dichlooraniline"
"3,5-dichlorophenol",μg/l,,591-35-5,,,"3,5-dichlorophenol",,,35DClFol,"3,5-dichloorfenol"
"3,5-dinitroaniline",μg/l,,618-87-1,,,"3,5-dinitroaniline",,,35DNO2An,"3,5-dinitroaniline"
"3,5-dinitrophenol",μg/l,,586-11-88,,,"3,5-dinitrophenol",,,35DNO2Fol,"3,5-dinitrofenol"
"1-methyl-3,5-dinitrobenzene",μg/l,,618-85-9,,,"1-methyl-3,5-dinitrobenzene",,,35DNO2Tol,"3,5-dinitrotolueen"
"3,7,11,15-tetramethylhexadecan-1-ol",μg/l,,645-72-7,,,"3,7,11,15-tetramethylhexadecan-1-ol",,,371115T4C1y1,"3,7,11,15-tetramethyl-1hexadecanol"
"3,7-dimethyloctane-1,7-diol",μg/l,,107-74-4,,,"3,7-dimethyloctane-1,7-diol",,,37DC1y17C8aD,"3,7-dimethyl-1,7-octaandiol"
prop-2-en-1-amine,μg/l,,107-11-9,,,prop-2-en-1-amine,,,3Ao1C3e,3-amino-1-propeen
"3-amino-2,5-dichlorobenzoic acid",μg/l,,133-90-4,,,"3-amino-2,5-dichlorobenzoic acid",,,3Ao25DClbzez,"3-amino-2,5-dichloor-benzoezuur"
(E)-3-bromo-1-chloroprop-1-ene,μg/l,,3737-00-6,,,(E)-3-bromo-1-chloroprop-1-ene,,,3Br1ClC3e,3-broom-1-chloorpropeen
(E)-tridec-2-enal,μg/l,,7774-82-5,,,(E)-tridec-2-enal,,,3C10yacline,3-decylacroleine
(Z)-hexadec-3-ene,μg/l,,34303-81-6,,,(Z)-hexadec-3-ene,,,3C16e,3-hexadeceen
3-methoxybutan-2-ol,μg/l,,53778-72-6,,,3-methoxybutan-2-ol,,,3C1ox2C4ol,3-methoxy-2-butanol
"3-methylcyclopentane-1,2-dione",μg/l,,765-70-8,,,"3-methylcyclopentane-1,2-dione",,,3C1y12ccC5aD,"3-methyl-1,2-cyclopentaandion"
3-methylaniline,μg/l,,108-44-1,,,3-methylaniline,,,3C1yAn,3-methylaniline
3-methylpentane,μg/l,,96-14-0,,,3-methylpentane,,,3C1yC5a,3-methylpentaan
3-methylpentanoic acid,μg/l,,105-43-1,,,3-methylpentanoic acid,,,3C1yC5azr,3-methylpentaanzuur
3-methylhexane,μg/l,,589-34-4,,,3-methylhexane,,,3C1yC6a,3-methylhexaan
3-methylheptane,μg/l,,589-81-1,,,3-methylheptane,,,3C1yC7a,3-methylheptaan
1-(3-methylphenyl)ethanone,μg/l,,585-74-0,,,1-(3-methylphenyl)ethanone,,,3C1yactfnn,3-methylacetofenon
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",μg/l,,56-49-5,,,"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",,,3C1ycltn,3-methylcholantreen
3-methylpyridine,μg/l,,108-99-6,,,3-methylpyridine,,,3C1yprdne,3-methylpyridine
5-methyl-1H-pyrazole,μg/l,,1453-58-3,,,5-methyl-1H-pyrazole,,,3C1yprzl,3-methylpyrazol
"3-ethyl-4-methylpyrrole-2,5-dione",μg/l,,20189-42-8,,,"3-ethyl-4-methylpyrrole-2,5-dione",,,3C2y4C1yprl2,"3-ethyl-4-methylpyrrol-2,5-dion"
3-ethylphenol,μg/l,,620-17-7,,,3-ethylphenol,,,3C2yFol,3-ethylfenol
1-ethyl-3-methylbenzene,μg/l,,620-14-4,,,1-ethyl-3-methylbenzene,,,3C2yTol,3-ethyltolueen
pentan-3-ol,μg/l,,584-02-1,,,pentan-3-ol,,,3C5ol,3-pentanol
3-chloro-2-methylprop-1-ene,μg/l,,563-47-3,,,3-chloro-2-methylprop-1-ene,,,3Cl2C1y1C3e,3-chloor-2-methyl-1-propeen
3-chloro-2-methylaniline,μg/l,,87-60-5,,,3-chloro-2-methylaniline,,,3Cl2C1yAn,3-chloor-2-methylaniline
3-chloro-2-nitroaniline,μg/l,,59483-54-4,,,3-chloro-2-nitroaniline,,,3Cl2NO2An,3-chloor-2-nitroaniline
3-chloro-4-methoxyaniline,μg/l,,5345-54-0,,,3-chloro-4-methoxyaniline,,,3Cl4C1oxAn,3-chloor-4-methoxyaniline
3-chloro-4-methylaniline,μg/l,,95-74-9,,,3-chloro-4-methylaniline,,,3Cl4C1yAn,3-chloor-4-methylaniline
(3-chloro-4-methylphenyl)urea,μg/l,,13142-64-8,,,(3-chloro-4-methylphenyl)urea,,,3Cl4C1yFyura,(3-chloor-4-methylfenyl)urea
2-chloro-4-methyl-1-nitrobenzene,μg/l,,38939-88-7,,,2-chloro-4-methyl-1-nitrobenzene,,,3Cl4NO2Tol,3-chloor-4-nitrotolueen
3-chloroaniline,μg/l,,108-42-9,,,3-chloroaniline,,,3ClAn,3-chlooraniline
3-chloropropanenitrile,μg/l,,542-76-7,,,3-chloropropanenitrile,,,3ClC3antl,3-chloorpropaannitril
3-chloroprop-1-ene,μg/l,,107-05-1,,,3-chloroprop-1-ene,,,3ClC3e,3-chloorpropeen
3-chlorophenol,μg/l,,108-43-0,,,3-chlorophenol,,,3ClFol,3-chloorfenol
"3-chloro-N,N-dimethylaniline",μg/l,,6848-13-1,,,"3-chloro-N,N-dimethylaniline",,,3ClNNDC1yAn,"3-chloor-N,N-dimethylaniline"
1-chloro-3-methylbenzene,μg/l,,108-41-8,,,1-chloro-3-methylbenzene,,,3ClTol,3-chloortolueen
"3-phenyl-1,3-oxazolidine",μg/l,,20503-92-8,,,"3-phenyl-1,3-oxazolidine",,,3Fyoazldne,3-fenyloxazolidine
